text,label,entities
"<< Epidermal growth factor receptor >> inhibitors currently under investigation include the small molecules [[ gefitinib ]] (Iressa, ZD1839) and erlotinib (Tarceva, OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux).",INHIBITOR,"['Epidermal growth factor receptor', 'gefitinib']"
"<< Epidermal growth factor receptor >> inhibitors currently under investigation include the small molecules gefitinib ([[ Iressa ]], ZD1839) and erlotinib (Tarceva, OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux).",INHIBITOR,"['Epidermal growth factor receptor', 'Iressa']"
"<< Epidermal growth factor receptor >> inhibitors currently under investigation include the small molecules gefitinib (Iressa, [[ ZD1839 ]]) and erlotinib (Tarceva, OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux).",INHIBITOR,"['Epidermal growth factor receptor', 'ZD1839']"
"<< Epidermal growth factor receptor >> inhibitors currently under investigation include the small molecules gefitinib (Iressa, ZD1839) and [[ erlotinib ]] (Tarceva, OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux).",INHIBITOR,"['Epidermal growth factor receptor', 'erlotinib']"
"<< Epidermal growth factor receptor >> inhibitors currently under investigation include the small molecules gefitinib (Iressa, ZD1839) and erlotinib ([[ Tarceva ]], OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux).",INHIBITOR,"['Epidermal growth factor receptor', 'Tarceva']"
"<< Epidermal growth factor receptor >> inhibitors currently under investigation include the small molecules gefitinib (Iressa, ZD1839) and erlotinib (Tarceva, [[ OSI-774 ]]), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux).",INHIBITOR,"['Epidermal growth factor receptor', 'OSI-774']"
"<< Epidermal growth factor receptor >> inhibitors currently under investigation include the small molecules gefitinib (Iressa, ZD1839) and erlotinib (Tarceva, OSI-774), as well as monoclonal antibodies such as [[ cetuximab ]] (IMC-225, Erbitux).",INHIBITOR,"['Epidermal growth factor receptor', 'cetuximab']"
"<< Epidermal growth factor receptor >> inhibitors currently under investigation include the small molecules gefitinib (Iressa, ZD1839) and erlotinib (Tarceva, OSI-774), as well as monoclonal antibodies such as cetuximab ([[ IMC-225 ]], Erbitux).",INHIBITOR,"['Epidermal growth factor receptor', 'IMC-225']"
"<< Epidermal growth factor receptor >> inhibitors currently under investigation include the small molecules gefitinib (Iressa, ZD1839) and erlotinib (Tarceva, OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, [[ Erbitux ]]).",INHIBITOR,"['Epidermal growth factor receptor', 'Erbitux']"
"Agents that have only begun to undergo clinical evaluation include << CI-1033 >>, an irreversible pan-[[ erbB ]] tyrosine kinase inhibitor, and PKI166 and GW572016, both examples of dual kinase inhibitors (inhibiting epidermal growth factor receptor and Her2).",INHIBITOR,"['CI-1033', 'erbB']"
